x y p
1.241493133271910798e+00 1.276069552203182023e-01 -3.623863464594454058e+02
1.244337941477192011e+00 1.531773114778428035e-01 -2.990655040331822647e+02
1.235395024692417687e+00 1.403924108061172793e-01 -3.502562403299825746e+02
1.250432059047629885e+00 1.403928276737478054e-01 -3.217505254467193936e+02
1.187892492256492405e+00 5.102600264869917857e-02 -2.964674916207094384e+02
1.175330897164816424e+00 7.653222558239099194e-02 -3.000930092670242288e+02
1.205750418195030038e+00 7.653210937074671205e-02 -3.561349442097588280e+02
1.181608925518696784e+00 6.377818016628616915e-02 -3.005662075970186606e+02
1.190539681913636905e+00 7.653144149400516183e-02 -3.352902864030171486e+02
1.196818625301311334e+00 6.377975563962638705e-02 -3.276644095027056665e+02
